POLISH,ENGLISH
nie,no
to,this
się,myself
w,In
na,on
i,and
że,that
z,with
co,What
jest,is
do,down
tak,Yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,you
po,after
tylko,just
czy,if
tu,here
może,maybe
ma,she
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
coś,something
dobrze,well
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
proszę,please
jej,her
są,there are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,to
sobie,herself
ze,with
był,was
wiesz,you know
bardzo,very
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
pani,you
jeszcze,still
mój,my
nas,us
żeby,in order to
no,Well
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,Thank you
nawet,even
chyba,I guess
domu,home
ona,she
prawda,TRUE
zrobić,to do
była,was
właśnie,exactly
będę,I'll be
zawsze,always
hej,Hi
nim,nimble
nam,U.S
te,these
moja,my
musisz,you have to
je,eat
dzięki,Thanks
bez,without
tej,this
trochę,a bit
ktoś,someone
panie,ladies
jesteśmy,we're
moje,my
powiedzieć,tell
który,which
czas,time
więcej,more
twój,your
musimy,We need
lat,years
ta,this
chce,I want
możemy,we can
wszyscy,all
tobą,you
albo,or
prostu,simply
chodzi,goes
razem,together
stało,constant
mną,mine
czego,what
sam,alone
myślę,I think
pana,Mr
przed,before
boże,God
raz,once
czemu,why
będziesz,you will be
niż,than
ludzie,people
dalej,next
czym,what
was,mustache
dobry,good
przy,by
ludzi,people
dzień,day
życie,life
lepiej,better
miał,had
rzeczy,stuff
twoja,your
czasu,time
ok,okay
temu,ago
robisz,you do
myślisz,you think
kim,Who is
niech,let
które,which
oczywiście,of course
siebie,myself
niego,him
cóż,well
powiedział,he said
u,at
daj,give
moim,my
chodź,come
musi,has to
my,we
nikt,nobody
twoje,your
tych,languish
pod,under
dlatego,this is why
pewnie,sure
powiedz,Say
aby,to
wtedy,then
wygląda,look
jeden,one
mojego,my
im,them
mówi,says
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
potem,later
wie,know
takie,such
nią,on her
wszystkie,all
znaczy,mean
rozumiem,I understand
dzieje,scent
moją,my
będziemy,we will
wiele,many
stąd,hence
oni,they
mojej,my
miejsce,place
iść,to go
kilka,a few
pomóc,help
dużo,A lot
ile,how much
jasne,bright
byłem,I was
swoje,own
myśli,thinks
cały,whole
skąd,from where
wiedzieć,know
dzieci,children
nich,them
która,which
wam,you
przykro,sorry
można,you can
jakieś,some
tę,these
wszystkich,all
nad,above
jakiś,some
sposób,way
trzeba,it's necessary to
mają,have
niej,it
pracy,work
kogoś,someone
tyle,so much
robić,to do
bardziej,more
mówisz,you speak
zanim,before
zbyt,too
szybko,quick
dzisiaj,today
tobie,you
takiego,such
świetnie,Great
zobaczyć,see
zaraz,in a minute
pewno,surely
miałem,I had
kocham,I love
mówię,I say
nadal,still
jaki,what
rację,race
kochanie,baby
myślałem,I thought
trzy,three
